요일,기상상태,가해운전자 성별,가해운전자 연령,시간대,월,도로위험도
금요일,맑음/흐림,남,65세 이상,주간,11월,1.168
목요일,맑음/흐림,남,65세 이상,야간,12월,0.136
토요일,맑음/흐림,남,25-64세,주간,12월,10.068
월요일,맑음/흐림,여,25-64세,주간,12월,0.068
금요일,맑음/흐림,남,25-64세,주간,1월,2.336
금요일,맑음/흐림,남,25-64세,주간,1월,2.336
목요일,맑음/흐림,남,24세 이하,야간,1월,0.068
화요일,맑음/흐림,남,25-64세,주간,2월,0.136
수요일,맑음/흐림,남,25-64세,주간,3월,1.168
수요일,맑음/흐림,남,25-64세,주간,3월,0.068
월요일,맑음/흐림,남,65세 이상,야간,3월,1.236
금요일,맑음/흐림,남,25-64세,주간,4월,2.336
토요일,맑음/흐림,남,25-64세,야간,4월,1.304
수요일,맑음/흐림,남,25-64세,주간,5월,0.068
수요일,맑음/흐림,남,25-64세,주간,5월,0.136
금요일,맑음/흐림,남,25-64세,주간,6월,11.304
금요일,맑음/흐림,남,25-64세,야간,6월,0.068
화요일,맑음/흐림,남,25-64세,주간,7월,1.168
목요일,맑음/흐림,남,25-64세,야간,7월,2.404
목요일,맑음/흐림,남,25-64세,야간,7월,11.236
일요일,맑음/흐림,남,65세 이상,주간,7월,5.08
수요일,맑음/흐림,남,25-64세,주간,8월,0.068
수요일,맑음/흐림,남,25-64세,주간,8월,0.068
화요일,맑음/흐림,남,25-64세,주간,8월,6.18
월요일,비,남,25-64세,주간,9월,0.068
화요일,맑음/흐림,남,25-64세,주간,9월,0.068
금요일,맑음/흐림,남,25-64세,주간,10월,1.236
토요일,맑음/흐림,여,25-64세,주간,10월,0.204
화요일,맑음/흐림,남,25-64세,주간,10월,1.168
목요일,맑음/흐림,남,25-64세,주간,10월,3.504
목요일,맑음/흐림,남,25-64세,주간,10월,0.136
토요일,맑음/흐림,남,25-64세,주간,11월,1.168
월요일,맑음/흐림,남,25-64세,주간,11월,1.304
목요일,맑음/흐림,남,25-64세,주간,12월,10
목요일,맑음/흐림,남,25-64세,주간,12월,2.336
일요일,맑음/흐림,남,25-64세,주간,12월,0.068
금요일,맑음/흐림,남,25-64세,주간,1월,0.136
목요일,맑음/흐림,남,25-64세,주간,3월,0.068
토요일,맑음/흐림,남,25-64세,주간,3월,0.068
일요일,맑음/흐림,남,25-64세,주간,3월,14.672
목요일,맑음/흐림,남,25-64세,주간,3월,1.168
금요일,맑음/흐림,남,25-64세,주간,3월,0.068
월요일,맑음/흐림,남,25-64세,주간,3월,0.068
일요일,맑음/흐림,남,25-64세,주간,4월,1.168
수요일,맑음/흐림,남,25-64세,주간,4월,0.068
목요일,비,남,25-64세,주간,4월,0.136
일요일,맑음/흐림,남,25-64세,야간,5월,1.236
월요일,맑음/흐림,남,25-64세,주간,5월,0.101
목요일,맑음/흐림,남,25-64세,주간,6월,0.068
화요일,맑음/흐림,남,65세 이상,야간,6월,10
목요일,비,남,25-64세,주간,7월,0.136
금요일,맑음/흐림,남,25-64세,야간,7월,0.068
목요일,맑음/흐림,남,25-64세,주간,7월,0.136
수요일,비,남,25-64세,주간,8월,1.168
목요일,맑음/흐림,남,25-64세,주간,8월,0.408
월요일,맑음/흐림,남,25-64세,주간,8월,1.236
월요일,비,남,25-64세,주간,8월,0.068
일요일,맑음/흐림,남,25-64세,주간,9월,1.304
화요일,맑음/흐림,남,65세 이상,주간,11월,10
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
금요일,맑음/흐림,남,25-64세,주간,11월,1.168
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
토요일,맑음/흐림,남,25-64세,주간,11월,0.068
월요일,맑음/흐림,남,25-64세,주간,11월,0.068
화요일,맑음/흐림,남,25-64세,주간,12월,1.372
월요일,맑음/흐림,남,25-64세,주간,1월,0.204
월요일,맑음/흐림,남,25-64세,주간,1월,1.372
수요일,안개,남,25-64세,주간,2월,9.501
수요일,안개,남,65세 이상,주간,2월,6.042
월요일,맑음/흐림,남,25-64세,주간,2월,0.068
목요일,맑음/흐림,남,25-64세,주간,2월,0.136
토요일,맑음/흐림,남,25-64세,주간,3월,0.204
화요일,맑음/흐림,남,25-64세,주간,3월,0.068
수요일,맑음/흐림,남,25-64세,주간,4월,0.068
일요일,맑음/흐림,남,65세 이상,주간,4월,0.272
월요일,맑음/흐림,남,25-64세,주간,5월,0.068
화요일,맑음/흐림,남,25-64세,주간,5월,0.068
목요일,맑음/흐림,남,25-64세,야간,6월,10
월요일,맑음/흐림,남,25-64세,야간,6월,0.068
