요일,기상상태,가해운전자 성별,가해운전자 연령,시간대,월,도로위험도
월요일,맑음/흐림,남,25-64세,야간,6월,12.336
월요일,맑음/흐림,남,25-64세,주간,6월,1.168
화요일,맑음/흐림,남,25-64세,주간,6월,0.068
화요일,맑음/흐림,남,25-64세,야간,6월,1.168
수요일,맑음/흐림,남,25-64세,주간,6월,1.372
수요일,맑음/흐림,남,25-64세,야간,6월,1.168
목요일,맑음/흐림,남,24세 이하,주간,6월,0.204
목요일,맑음/흐림,남,25-64세,주간,6월,0.068
금요일,맑음/흐림,남,25-64세,야간,6월,0.068
금요일,비,남,25-64세,주간,6월,0.068
금요일,맑음/흐림,남,65세 이상,주간,6월,1.168
금요일,맑음/흐림,남,25-64세,주간,6월,0.136
토요일,맑음/흐림,남,25-64세,야간,6월,0.101
토요일,맑음/흐림,남,25-64세,야간,6월,2.336
일요일,맑음/흐림,남,25-64세,야간,6월,1.168
일요일,맑음/흐림,남,25-64세,주간,6월,0.136
월요일,맑음/흐림,남,25-64세,야간,6월,1.168
화요일,맑음/흐림,남,25-64세,주간,6월,2.472
화요일,맑음/흐림,남,25-64세,주간,6월,0.136
수요일,맑음/흐림,남,25-64세,야간,6월,0.068
목요일,맑음/흐림,남,25-64세,야간,6월,21.236
금요일,비,남,25-64세,주간,7월,0.136
금요일,비,남,25-64세,주간,7월,0.136
금요일,비,남,65세 이상,주간,7월,1.236
금요일,비,남,25-64세,주간,7월,1.168
금요일,비,남,25-64세,주간,7월,0.068
월요일,비,남,25-64세,주간,7월,2.404
월요일,비,남,25-64세,주간,7월,1.168
목요일,맑음/흐림,남,25-64세,주간,7월,0.136
토요일,맑음/흐림,남,25-64세,주간,7월,0.068
일요일,맑음/흐림,남,25-64세,주간,7월,1.848
일요일,맑음/흐림,남,25-64세,야간,7월,0.136
월요일,맑음/흐림,남,25-64세,주간,7월,2.336
목요일,맑음/흐림,남,25-64세,주간,7월,0.136
목요일,맑음/흐림,남,25-64세,주간,7월,0.068
금요일,맑음/흐림,남,25-64세,주간,7월,0.068
토요일,비,남,25-64세,야간,7월,1.236
토요일,비,남,25-64세,주간,7월,1.236
토요일,맑음/흐림,남,25-64세,주간,7월,1.304
토요일,비,남,25-64세,야간,7월,2.336
일요일,맑음/흐림,남,25-64세,주간,7월,0.235
월요일,맑음/흐림,남,25-64세,야간,7월,0.068
월요일,맑음/흐림,남,24세 이하,주간,7월,0.136
화요일,맑음/흐림,남,25-64세,주간,7월,2.437
수요일,맑음/흐림,남,65세 이상,주간,7월,0.204
목요일,맑음/흐림,남,25-64세,야간,7월,0.068
금요일,맑음/흐림,남,25-64세,야간,7월,1.168
금요일,맑음/흐림,남,25-64세,주간,7월,0.068
토요일,맑음/흐림,남,25-64세,주간,7월,0.204
토요일,맑음/흐림,남,25-64세,주간,7월,2.404
토요일,맑음/흐림,남,25-64세,주간,7월,0.066
월요일,맑음/흐림,남,25-64세,주간,7월,0.068
화요일,맑음/흐림,남,25-64세,주간,7월,0.136
화요일,맑음/흐림,남,25-64세,주간,7월,1.916
화요일,맑음/흐림,남,25-64세,주간,7월,1.168
화요일,맑음/흐림,남,25-64세,주간,7월,0.068
수요일,비,남,25-64세,야간,7월,0.305
수요일,맑음/흐림,남,25-64세,주간,7월,1.168
수요일,맑음/흐림,남,25-64세,주간,7월,0.136
목요일,맑음/흐림,남,25-64세,주간,7월,0.068
목요일,맑음/흐림,남,25-64세,주간,7월,0.068
금요일,맑음/흐림,남,25-64세,야간,7월,1.168
금요일,비,남,25-64세,주간,7월,0.066
토요일,비,남,25-64세,야간,7월,1.372
토요일,맑음/흐림,남,25-64세,주간,7월,0.068
월요일,맑음/흐림,남,25-64세,야간,8월,0.204
월요일,맑음/흐림,남,25-64세,주간,8월,0.136
월요일,맑음/흐림,남,25-64세,주간,8월,1.168
월요일,맑음/흐림,남,25-64세,야간,8월,2.472
화요일,맑음/흐림,남,25-64세,주간,8월,0.068
수요일,맑음/흐림,남,25-64세,주간,8월,0.068
수요일,맑음/흐림,남,65세 이상,주간,8월,1.304
목요일,맑음/흐림,남,25-64세,주간,8월,1.304
토요일,맑음/흐림,남,25-64세,야간,8월,1.236
토요일,맑음/흐림,남,25-64세,주간,8월,1.168
토요일,맑음/흐림,남,25-64세,주간,8월,0.136
월요일,맑음/흐림,남,25-64세,주간,8월,0.134
월요일,맑음/흐림,남,25-64세,주간,8월,2.336
화요일,맑음/흐림,남,25-64세,주간,8월,0.068
화요일,맑음/흐림,남,25-64세,주간,8월,0.34
수요일,맑음/흐림,남,25-64세,주간,8월,0.136
금요일,맑음/흐림,남,25-64세,주간,8월,1.168
토요일,맑음/흐림,남,25-64세,주간,8월,0.577
일요일,맑음/흐림,남,25-64세,주간,8월,0.033
화요일,맑음/흐림,남,25-64세,주간,8월,0.068
화요일,맑음/흐림,남,65세 이상,주간,8월,0.169
목요일,맑음/흐림,남,25-64세,주간,8월,1.168
금요일,맑음/흐림,남,25-64세,야간,8월,1.168
금요일,맑음/흐림,남,25-64세,주간,8월,0.068
토요일,맑음/흐림,남,25-64세,야간,8월,0.136
일요일,맑음/흐림,남,25-64세,주간,8월,1.168
월요일,맑음/흐림,남,65세 이상,야간,8월,1.78
월요일,맑음/흐림,남,25-64세,주간,8월,0.068
월요일,맑음/흐림,남,25-64세,주간,8월,0.101
월요일,맑음/흐림,남,25-64세,주간,8월,0.305
화요일,맑음/흐림,남,25-64세,주간,8월,0.272
화요일,맑음/흐림,남,25-64세,주간,8월,1.168
수요일,맑음/흐림,남,25-64세,주간,8월,0.136
수요일,맑음/흐림,남,25-64세,주간,8월,0.101
수요일,맑음/흐림,남,25-64세,야간,8월,1.168
목요일,맑음/흐림,남,25-64세,주간,8월,0.136
금요일,비,남,25-64세,주간,8월,1.168
금요일,맑음/흐림,남,25-64세,주간,8월,0.136
금요일,맑음/흐림,남,25-64세,야간,8월,0.136
토요일,맑음/흐림,남,25-64세,주간,8월,0.136
토요일,맑음/흐림,남,25-64세,주간,8월,0.068
토요일,맑음/흐림,남,25-64세,주간,8월,0.204
월요일,맑음/흐림,남,25-64세,주간,8월,0.068
월요일,맑음/흐림,남,25-64세,주간,8월,0.068
월요일,맑음/흐림,남,25-64세,주간,8월,0.272
월요일,맑음/흐림,남,25-64세,주간,8월,11.168
월요일,맑음/흐림,남,25-64세,주간,8월,0.136
화요일,맑음/흐림,남,25-64세,야간,8월,0.068
화요일,맑음/흐림,남,25-64세,주간,8월,0.136
수요일,비,남,24세 이하,주간,8월,0.101
수요일,비,남,25-64세,주간,8월,2.404
수요일,맑음/흐림,남,25-64세,주간,8월,1.304
수요일,비,남,25-64세,주간,8월,1.168
수요일,비,남,25-64세,주간,8월,0.136
수요일,비,남,25-64세,주간,8월,0.101
목요일,맑음/흐림,남,25-64세,주간,9월,0.068
목요일,맑음/흐림,남,25-64세,주간,9월,1.236
금요일,맑음/흐림,남,25-64세,주간,9월,0.136
토요일,맑음/흐림,남,25-64세,야간,9월,1.236
월요일,맑음/흐림,남,25-64세,주간,9월,0.068
화요일,맑음/흐림,남,25-64세,주간,9월,0.136
화요일,맑음/흐림,남,25-64세,야간,9월,2.336
화요일,맑음/흐림,남,25-64세,야간,9월,0.068
수요일,맑음/흐림,남,25-64세,주간,9월,0.136
목요일,맑음/흐림,남,25-64세,주간,9월,0.068
목요일,맑음/흐림,남,25-64세,주간,9월,1.168
금요일,맑음/흐림,남,25-64세,주간,9월,1.168
금요일,맑음/흐림,남,25-64세,주간,9월,11.168
금요일,맑음/흐림,남,25-64세,주간,9월,0.136
수요일,맑음/흐림,남,25-64세,주간,9월,2.336
월요일,맑음/흐림,남,65세 이상,주간,9월,0.136
월요일,맑음/흐림,남,25-64세,야간,9월,0.068
화요일,맑음/흐림,남,25-64세,주간,9월,1.236
화요일,맑음/흐림,남,24세 이하,주간,9월,0.066
화요일,맑음/흐림,남,25-64세,주간,9월,1.508
목요일,맑음/흐림,남,25-64세,주간,9월,0.068
목요일,맑음/흐림,남,25-64세,주간,9월,0.033
목요일,맑음/흐림,남,25-64세,주간,9월,0.068
금요일,맑음/흐림,남,25-64세,주간,9월,1.304
토요일,맑음/흐림,남,25-64세,야간,9월,0.068
토요일,맑음/흐림,남,25-64세,주간,9월,0.068
일요일,맑음/흐림,남,25-64세,주간,9월,0.068
월요일,맑음/흐림,남,25-64세,주간,9월,0.068
월요일,맑음/흐림,남,25-64세,주간,9월,2.472
화요일,맑음/흐림,남,25-64세,주간,9월,0.272
화요일,맑음/흐림,남,25-64세,주간,9월,0.204
수요일,맑음/흐림,남,25-64세,주간,9월,0.068
수요일,맑음/흐림,남,25-64세,주간,9월,0.272
금요일,맑음/흐림,남,25-64세,야간,9월,0.136
금요일,맑음/흐림,남,24세 이하,야간,9월,1.168
금요일,맑음/흐림,남,25-64세,주간,9월,0.068
금요일,맑음/흐림,남,25-64세,주간,9월,3.572
일요일,비,남,25-64세,주간,10월,0.068
일요일,비,남,65세 이상,주간,10월,1.168
월요일,맑음/흐림,남,25-64세,주간,10월,0.068
월요일,맑음/흐림,남,25-64세,주간,10월,1.236
화요일,맑음/흐림,남,25-64세,주간,10월,0.204
수요일,맑음/흐림,남,25-64세,야간,10월,11.372
수요일,맑음/흐림,남,25-64세,주간,10월,1.168
목요일,맑음/흐림,남,25-64세,야간,10월,10.033
목요일,맑음/흐림,남,25-64세,주간,10월,0.068
목요일,맑음/흐림,남,25-64세,주간,10월,1.168
금요일,맑음/흐림,남,25-64세,주간,10월,0.204
금요일,맑음/흐림,남,25-64세,주간,10월,0.204
일요일,맑음/흐림,남,25-64세,주간,10월,0.068
화요일,맑음/흐림,남,25-64세,주간,10월,1.372
화요일,맑음/흐림,남,25-64세,주간,10월,2.54
화요일,맑음/흐림,남,25-64세,주간,10월,1.168
화요일,맑음/흐림,남,25-64세,주간,10월,0.068
수요일,맑음/흐림,남,25-64세,야간,10월,0.068
목요일,맑음/흐림,남,25-64세,주간,10월,0.068
금요일,맑음/흐림,남,25-64세,주간,10월,1.168
금요일,맑음/흐림,남,25-64세,주간,10월,0.068
금요일,맑음/흐림,남,25-64세,주간,10월,1.576
금요일,맑음/흐림,남,25-64세,주간,10월,0.068
금요일,맑음/흐림,남,25-64세,주간,10월,0.169
금요일,맑음/흐림,남,25-64세,주간,10월,1.168
금요일,맑음/흐림,남,25-64세,야간,10월,1.372
토요일,맑음/흐림,남,25-64세,주간,10월,2.948
월요일,맑음/흐림,남,25-64세,주간,10월,0.068
월요일,맑음/흐림,남,25-64세,주간,10월,1.304
수요일,맑음/흐림,남,25-64세,주간,10월,10.136
수요일,맑음/흐림,남,25-64세,주간,10월,0.068
수요일,맑음/흐림,남,25-64세,주간,10월,1.168
목요일,맑음/흐림,남,25-64세,주간,10월,1.236
목요일,맑음/흐림,남,25-64세,주간,10월,0.204
토요일,맑음/흐림,남,25-64세,야간,10월,0.068
월요일,맑음/흐림,남,24세 이하,주간,10월,3.64
월요일,맑음/흐림,남,25-64세,주간,10월,10
화요일,비,남,25-64세,야간,10월,1.168
화요일,비,남,25-64세,주간,10월,1.44
수요일,맑음/흐림,남,25-64세,주간,10월,1.168
수요일,맑음/흐림,남,25-64세,주간,10월,0.068
목요일,맑음/흐림,남,25-64세,야간,10월,1.236
토요일,맑음/흐림,남,25-64세,주간,10월,3.504
토요일,맑음/흐림,남,25-64세,주간,10월,0.167
일요일,맑음/흐림,여,25-64세,야간,10월,10.132
월요일,맑음/흐림,남,25-64세,야간,10월,0.068
월요일,맑음/흐림,남,25-64세,야간,10월,0.101
월요일,맑음/흐림,남,25-64세,주간,10월,0.136
화요일,맑음/흐림,남,25-64세,주간,11월,2.336
화요일,맑음/흐림,남,25-64세,주간,11월,1.236
수요일,맑음/흐림,남,25-64세,주간,11월,10
수요일,맑음/흐림,남,25-64세,주간,11월,1.269
수요일,비,남,25-64세,주간,11월,0.136
목요일,맑음/흐림,남,25-64세,주간,11월,2.336
화요일,맑음/흐림,남,25-64세,주간,11월,1.269
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
화요일,맑음/흐림,남,25-64세,주간,11월,1.168
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
금요일,맑음/흐림,남,25-64세,주간,11월,0.068
금요일,맑음/흐림,남,25-64세,주간,11월,0.068
토요일,맑음/흐림,남,25-64세,야간,11월,1.236
토요일,맑음/흐림,남,25-64세,야간,11월,0.068
토요일,맑음/흐림,남,25-64세,주간,11월,0.169
토요일,맑음/흐림,남,25-64세,주간,11월,0.34
화요일,맑음/흐림,남,25-64세,주간,11월,1.236
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,11월,0.068
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
목요일,맑음/흐림,남,25-64세,야간,11월,0.068
금요일,맑음/흐림,남,25-64세,주간,11월,0.068
토요일,맑음/흐림,남,65세 이상,야간,11월,0.204
월요일,맑음/흐림,남,25-64세,주간,11월,2.608
월요일,맑음/흐림,남,25-64세,주간,11월,0.204
화요일,맑음/흐림,남,65세 이상,주간,11월,0.068
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
목요일,맑음/흐림,남,25-64세,주간,11월,1.168
금요일,맑음/흐림,남,25-64세,주간,11월,0.068
토요일,맑음/흐림,남,25-64세,주간,11월,0.204
화요일,맑음/흐림,남,25-64세,주간,11월,1.168
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,11월,0.068
목요일,맑음/흐림,남,65세 이상,주간,12월,10.136
목요일,맑음/흐림,남,25-64세,주간,12월,10.068
금요일,맑음/흐림,남,25-64세,주간,12월,1.168
토요일,맑음/흐림,남,25-64세,주간,12월,10
월요일,맑음/흐림,남,25-64세,주간,12월,1.168
화요일,맑음/흐림,남,25-64세,주간,12월,0.204
수요일,맑음/흐림,남,25-64세,주간,12월,0.136
목요일,비,남,25-64세,야간,12월,1.576
목요일,비,남,25-64세,야간,12월,1.304
금요일,안개,남,25-64세,야간,12월,12.676
금요일,맑음/흐림,남,25-64세,주간,12월,0.068
금요일,맑음/흐림,남,25-64세,주간,12월,0.204
월요일,맑음/흐림,남,25-64세,주간,12월,0.068
월요일,맑음/흐림,남,25-64세,야간,12월,0.235
화요일,맑음/흐림,남,25-64세,야간,12월,0.033
수요일,맑음/흐림,남,25-64세,주간,12월,0.068
목요일,맑음/흐림,남,25-64세,주간,12월,1.168
금요일,맑음/흐림,남,25-64세,주간,12월,0.068
토요일,맑음/흐림,남,25-64세,주간,12월,0.068
화요일,안개,남,25-64세,주간,12월,0.068
수요일,맑음/흐림,남,25-64세,주간,12월,0.34
수요일,비,남,25-64세,주간,12월,10.066
수요일,비,남,25-64세,주간,12월,0.068
수요일,비,남,65세 이상,야간,12월,1.337
목요일,비,남,65세 이상,주간,12월,0.169
목요일,비,남,25-64세,주간,12월,0.136
목요일,맑음/흐림,남,25-64세,주간,12월,1.168
금요일,맑음/흐림,남,25-64세,주간,12월,0.136
토요일,맑음/흐림,남,25-64세,주간,12월,0.068
토요일,맑음/흐림,남,25-64세,주간,12월,0.169
월요일,맑음/흐림,남,25-64세,주간,12월,0.068
월요일,맑음/흐림,남,24세 이하,주간,12월,0.136
화요일,맑음/흐림,남,25-64세,주간,12월,0.136
수요일,맑음/흐림,남,65세 이상,주간,12월,1.168
수요일,맑음/흐림,남,25-64세,주간,12월,1.168
목요일,맑음/흐림,남,25-64세,야간,12월,0.033
목요일,맑음/흐림,남,25-64세,주간,12월,0.204
금요일,맑음/흐림,남,25-64세,야간,12월,0.068
수요일,맑음/흐림,남,25-64세,주간,1월,0.068
목요일,맑음/흐림,남,25-64세,야간,1월,1.201
일요일,맑음/흐림,남,25-64세,야간,1월,1.236
금요일,맑음/흐림,남,25-64세,야간,2월,3.572
수요일,맑음/흐림,남,25-64세,야간,2월,0.068
토요일,맑음/흐림,남,25-64세,주간,2월,1.508
화요일,맑음/흐림,남,25-64세,야간,2월,1.168
토요일,맑음/흐림,남,25-64세,주간,2월,0.136
토요일,맑음/흐림,남,25-64세,주간,2월,0.068
금요일,맑음/흐림,남,25-64세,야간,2월,1.236
일요일,맑음/흐림,남,25-64세,야간,2월,1.236
화요일,맑음/흐림,남,25-64세,주간,2월,0.136
토요일,맑음/흐림,남,25-64세,주간,3월,0.068
토요일,맑음/흐림,남,25-64세,주간,3월,15.08
월요일,맑음/흐림,남,25-64세,주간,3월,0.136
수요일,맑음/흐림,남,25-64세,주간,3월,1.644
금요일,맑음/흐림,남,25-64세,야간,3월,0.068
금요일,맑음/흐림,남,25-64세,야간,3월,1.168
금요일,맑음/흐림,남,25-64세,주간,4월,1.236
금요일,맑음/흐림,남,25-64세,주간,4월,0.136
월요일,맑음/흐림,남,65세 이상,야간,4월,0.136
목요일,맑음/흐림,남,25-64세,야간,4월,11.168
금요일,맑음/흐림,남,25-64세,야간,4월,1.168
월요일,맑음/흐림,남,25-64세,야간,5월,11.168
월요일,맑음/흐림,남,25-64세,야간,5월,0.476
월요일,맑음/흐림,남,25-64세,야간,5월,12.404
화요일,맑음/흐림,남,25-64세,주간,5월,1.168
화요일,맑음/흐림,남,25-64세,주간,5월,3.809
목요일,비,남,25-64세,주간,6월,0.068
월요일,맑음/흐림,남,25-64세,야간,6월,2.336
월요일,맑음/흐림,남,25-64세,주간,6월,10
월요일,맑음/흐림,남,25-64세,야간,6월,10.068
화요일,맑음/흐림,남,25-64세,주간,6월,0.136
화요일,맑음/흐림,남,25-64세,야간,6월,2.336
토요일,맑음/흐림,남,25-64세,주간,6월,0.068
월요일,맑음/흐림,남,25-64세,주간,6월,0.068
목요일,맑음/흐림,남,25-64세,야간,6월,0.033
수요일,맑음/흐림,남,25-64세,야간,7월,11.304
목요일,맑음/흐림,남,25-64세,주간,7월,1.44
수요일,맑음/흐림,남,25-64세,주간,7월,0.068
수요일,비,남,25-64세,야간,7월,0.272
금요일,비,남,25-64세,주간,7월,2.608
토요일,맑음/흐림,남,25-64세,야간,7월,1.236
일요일,맑음/흐림,남,25-64세,야간,7월,17.756
목요일,맑음/흐림,남,25-64세,주간,8월,0.136
일요일,맑음/흐림,남,25-64세,주간,8월,0.068
월요일,맑음/흐림,남,65세 이상,주간,9월,0.068
화요일,맑음/흐림,남,25-64세,야간,9월,0.136
수요일,맑음/흐림,남,25-64세,주간,9월,1.236
금요일,맑음/흐림,남,25-64세,주간,9월,1.236
금요일,맑음/흐림,남,25-64세,주간,9월,11.236
월요일,맑음/흐림,남,65세 이상,주간,9월,0.136
수요일,맑음/흐림,남,25-64세,주간,9월,0.136
수요일,맑음/흐림,남,25-64세,야간,9월,10.068
월요일,맑음/흐림,남,25-64세,주간,9월,3.572
월요일,맑음/흐림,남,25-64세,주간,9월,1.201
화요일,맑음/흐림,남,25-64세,주간,10월,0.068
금요일,맑음/흐림,남,25-64세,주간,10월,21.328
월요일,맑음/흐림,남,25-64세,주간,10월,1.168
화요일,맑음/흐림,남,25-64세,주간,10월,1.168
수요일,맑음/흐림,남,25-64세,주간,10월,10.204
수요일,맑음/흐림,남,25-64세,야간,10월,0.136
목요일,맑음/흐림,남,65세 이상,야간,10월,0.068
수요일,맑음/흐림,남,25-64세,주간,10월,0.068
목요일,맑음/흐림,남,25-64세,야간,10월,11.168
금요일,맑음/흐림,남,25-64세,야간,10월,0.068
토요일,맑음/흐림,남,25-64세,주간,10월,0.204
수요일,맑음/흐림,남,25-64세,야간,11월,1.168
금요일,맑음/흐림,남,25-64세,야간,11월,10.068
월요일,맑음/흐림,남,25-64세,주간,11월,0.068
수요일,맑음/흐림,남,25-64세,주간,11월,1.677
목요일,맑음/흐림,남,25-64세,야간,11월,11.168
목요일,맑음/흐림,남,25-64세,야간,11월,17.008
토요일,맑음/흐림,남,25-64세,주간,11월,0.068
토요일,맑음/흐림,남,25-64세,주간,11월,2.608
월요일,맑음/흐림,남,25-64세,주간,11월,1.168
금요일,맑음/흐림,남,25-64세,야간,11월,0.068
일요일,맑음/흐림,남,25-64세,주간,11월,1.304
일요일,맑음/흐림,남,65세 이상,주간,11월,0.068
금요일,눈,남,25-64세,야간,11월,1.372
금요일,눈,남,25-64세,야간,11월,10
토요일,맑음/흐림,남,25-64세,주간,12월,0.204
월요일,눈,남,25-64세,주간,12월,0.068
월요일,눈,남,25-64세,야간,12월,0.136
목요일,맑음/흐림,남,25-64세,주간,12월,1.168
월요일,맑음/흐림,남,25-64세,주간,1월,0.204
수요일,눈,남,25-64세,야간,1월,0.204
금요일,맑음/흐림,남,25-64세,주간,1월,0.068
금요일,맑음/흐림,남,25-64세,야간,1월,0.068
목요일,맑음/흐림,남,25-64세,야간,1월,1.236
월요일,맑음/흐림,남,25-64세,주간,2월,2.404
목요일,맑음/흐림,남,25-64세,야간,2월,10
수요일,눈,남,25-64세,야간,2월,3.572
금요일,맑음/흐림,남,25-64세,야간,3월,0.068
일요일,맑음/흐림,남,25-64세,주간,3월,1.236
수요일,맑음/흐림,남,25-64세,야간,3월,0.068
목요일,맑음/흐림,여,25-64세,주간,3월,0.136
수요일,비,남,25-64세,야간,4월,3.64
수요일,비,남,24세 이하,야간,4월,10.136
목요일,맑음/흐림,남,25-64세,주간,4월,0.204
금요일,맑음/흐림,남,25-64세,야간,4월,0.136
목요일,맑음/흐림,남,25-64세,주간,4월,11.712
목요일,맑음/흐림,남,65세 이상,야간,5월,0.068
목요일,맑음/흐림,남,25-64세,주간,5월,10
월요일,맑음/흐림,남,25-64세,주간,5월,0.068
목요일,맑음/흐림,남,25-64세,주간,6월,2.336
목요일,맑음/흐림,남,25-64세,야간,6월,2.404
월요일,맑음/흐림,남,25-64세,야간,6월,1.236
토요일,맑음/흐림,남,24세 이하,야간,6월,0.068
금요일,맑음/흐림,남,25-64세,주간,7월,1.644
화요일,맑음/흐림,남,25-64세,주간,7월,0.204
화요일,맑음/흐림,남,25-64세,주간,7월,0.204
목요일,맑음/흐림,남,25-64세,야간,8월,0.068
화요일,맑음/흐림,남,25-64세,주간,8월,0.136
화요일,맑음/흐림,남,65세 이상,주간,8월,2.336
목요일,맑음/흐림,남,25-64세,주간,8월,10
화요일,비,남,25-64세,야간,8월,0.068
목요일,비,남,25-64세,야간,8월,1.304
금요일,비,남,25-64세,야간,8월,10
수요일,맑음/흐림,남,25-64세,야간,9월,1.236
금요일,맑음/흐림,남,25-64세,주간,9월,0.068
목요일,맑음/흐림,남,25-64세,주간,9월,1.168
일요일,맑음/흐림,남,25-64세,야간,9월,1.168
화요일,맑음/흐림,남,25-64세,주간,9월,0.068
수요일,맑음/흐림,남,25-64세,주간,10월,0.136
금요일,맑음/흐림,남,65세 이상,야간,10월,0.068
금요일,맑음/흐림,남,25-64세,주간,10월,14.116
금요일,맑음/흐림,남,25-64세,주간,10월,0.068
토요일,맑음/흐림,남,65세 이상,주간,10월,0.272
화요일,안개,남,25-64세,야간,10월,1.236
금요일,비,남,25-64세,주간,10월,0.136
토요일,맑음/흐림,남,25-64세,주간,10월,10
일요일,맑음/흐림,남,25-64세,주간,10월,0.235
월요일,맑음/흐림,남,65세 이상,주간,11월,1.304
화요일,맑음/흐림,남,25-64세,주간,11월,0.068
화요일,맑음/흐림,남,25-64세,주간,11월,11.236
토요일,맑음/흐림,남,25-64세,주간,11월,0.136
월요일,맑음/흐림,남,25-64세,주간,11월,1.236
수요일,맑음/흐림,남,25-64세,야간,11월,1.236
목요일,맑음/흐림,남,24세 이하,주간,11월,1.236
목요일,맑음/흐림,남,25-64세,주간,11월,1.236
토요일,눈,남,25-64세,주간,11월,2.404
화요일,비,남,25-64세,주간,12월,0.204
수요일,맑음/흐림,남,65세 이상,주간,12월,10
금요일,맑음/흐림,남,25-64세,주간,12월,1.168
월요일,맑음/흐림,남,25-64세,야간,1월,11.168
토요일,맑음/흐림,남,25-64세,주간,1월,1.304
월요일,맑음/흐림,남,25-64세,주간,1월,3.504
월요일,맑음/흐림,남,25-64세,주간,2월,1.168
월요일,맑음/흐림,남,25-64세,주간,2월,0.068
목요일,맑음/흐림,남,25-64세,야간,2월,0.068
목요일,맑음/흐림,남,25-64세,주간,2월,0.068
금요일,맑음/흐림,남,25-64세,주간,2월,0.136
토요일,맑음/흐림,남,25-64세,주간,2월,1.304
화요일,맑음/흐림,남,25-64세,야간,3월,0.136
금요일,맑음/흐림,남,25-64세,야간,3월,1.236
금요일,맑음/흐림,남,25-64세,주간,3월,0.204
토요일,맑음/흐림,남,25-64세,야간,3월,1.168
일요일,맑음/흐림,남,25-64세,야간,3월,1.168
목요일,맑음/흐림,남,25-64세,주간,3월,1.168
금요일,맑음/흐림,남,25-64세,주간,3월,0.068
화요일,맑음/흐림,남,25-64세,주간,3월,0.068
화요일,맑음/흐림,남,25-64세,주간,3월,0.272
목요일,맑음/흐림,남,25-64세,주간,3월,0.068
토요일,맑음/흐림,남,25-64세,주간,4월,1.44
화요일,눈,남,25-64세,야간,4월,12.472
수요일,맑음/흐림,남,24세 이하,주간,4월,1.168
월요일,맑음/흐림,남,65세 이상,주간,4월,1.642
목요일,맑음/흐림,남,25-64세,주간,5월,0.068
토요일,맑음/흐림,남,25-64세,주간,5월,1.168
토요일,맑음/흐림,남,25-64세,주간,5월,0.136
수요일,맑음/흐림,남,25-64세,주간,5월,1.44
화요일,맑음/흐림,남,25-64세,주간,5월,13.708
수요일,맑음/흐림,남,25-64세,주간,6월,1.168
목요일,맑음/흐림,남,25-64세,주간,6월,1.168
월요일,맑음/흐림,남,25-64세,주간,6월,1.236
금요일,맑음/흐림,남,25-64세,주간,6월,0.136
일요일,맑음/흐림,남,25-64세,야간,6월,1.236
금요일,맑음/흐림,남,25-64세,야간,7월,0.068
금요일,맑음/흐림,남,25-64세,주간,7월,3.504
일요일,맑음/흐림,남,25-64세,주간,7월,12.54
화요일,맑음/흐림,남,25-64세,야간,7월,1.236
수요일,맑음/흐림,남,25-64세,주간,7월,10
토요일,맑음/흐림,남,25-64세,주간,7월,1.372
금요일,맑음/흐림,남,65세 이상,야간,7월,1.168
화요일,맑음/흐림,남,25-64세,야간,7월,1.168
금요일,맑음/흐림,남,65세 이상,야간,8월,10.068
수요일,맑음/흐림,남,25-64세,주간,8월,0.068
월요일,맑음/흐림,남,25-64세,주간,8월,0.204
목요일,맑음/흐림,남,25-64세,주간,8월,0.068
토요일,맑음/흐림,남,25-64세,야간,9월,0.068
금요일,맑음/흐림,남,25-64세,주간,9월,0.068
월요일,맑음/흐림,남,25-64세,주간,9월,0.068
금요일,맑음/흐림,남,65세 이상,주간,10월,0.136
화요일,맑음/흐림,남,65세 이상,주간,10월,1.77
수요일,맑음/흐림,남,25-64세,주간,10월,2.336
목요일,맑음/흐림,남,25-64세,야간,10월,1.168
금요일,맑음/흐림,남,25-64세,주간,10월,0.068
일요일,맑음/흐림,남,65세 이상,주간,10월,0.068
일요일,맑음/흐림,남,25-64세,주간,10월,2.812
화요일,맑음/흐림,남,25-64세,주간,10월,0.033
금요일,맑음/흐림,남,25-64세,야간,10월,10
화요일,맑음/흐림,남,25-64세,주간,10월,0.068
화요일,맑음/흐림,남,25-64세,주간,11월,2.437
목요일,맑음/흐림,남,25-64세,주간,11월,1.236
금요일,맑음/흐림,남,25-64세,주간,11월,1.168
목요일,맑음/흐림,남,25-64세,주간,11월,0.068
금요일,맑음/흐림,남,25-64세,주간,11월,0.136
월요일,맑음/흐림,남,25-64세,주간,11월,0.068
금요일,맑음/흐림,남,25-64세,주간,11월,1.236
금요일,맑음/흐림,남,25-64세,주간,11월,0.068
